rating,startYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,genres
7,2012,30,0,52,4,334,21,4,0,1,0,7,21,2297,['US'],Comedy
8,2017,58,3,1,0,26,0,7,0,0,0,1,0,37,['MX'],"Documentary,Short"
6,1978,98,0,16,0,105,8,3,0,0,0,15,7,256,['US'],"Action,Crime,Drama"
7,1949,18,0,0,0,4,0,7,0,0,0,1,0,20,['ES'],Short
8,1969,85,0,1,0,30,0,3,0,0,0,3,0,37,['SUHH'],"Drama,Romance"
7,1992,30,0,1,0,71,0,1,0,0,0,1,0,96,['US'],Comedy
7,1990,25,0,1,0,73,0,1,0,0,0,1,2,160,['US'],"Adventure,Comedy,Drama"
6,1966,97,1,67,0,75,3,3,0,0,0,24,18,564,['US'],"Comedy,Thriller"
8,1999,16,1,5,0,15,1,10,0,0,0,2,9,1003,['US'],"Adventure,Animation,Comedy"
9,1996,58,0,1,1,43,1,2,0,0,0,1,2,74,"['CA', 'US']",Action
10,2024,58,0,6,1,16,1,7,0,0,0,1,3,26,['AE'],"Comedy,Fantasy,Short"
9,1999,23,0,6,0,26,0,1,0,0,0,1,0,205,['JP'],"Animation,Comedy,Drama"
